"lotno","partname","mainlot","inspection_no","first_input_qty","input_date","input_process_code","last_output_qty","completed_date","product_group","product","last_nc_no","nc_rank","nc_issue_date","nc_state","nc_defect_rate","nc_defect_name","total_nc","created_at","updated_at","semi_fg_lotno"
LOTMT1407,"4DSACE803477","","",9576,2025-10-17 00:00:00.000,"1",6000,2025-12-02 17:02:00.000,,,NCR20251028-00182,B,2025-10-28,undefined,"100",LC Short chip,2,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1414,"4DSACE803336","","",9576,2025-10-19 00:00:00.000,"1",6000,2025-11-06 10:31:00.000,,,NCR20251030-00433,B,2025-10-30,undefined,"100",Total yield ratio lower spec (LC),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1429,"6DSACE803477","","",7980,2025-10-17 00:00:00.000,"1",5000,2025-11-02 05:28:00.000,,,NCR20251027-00131,B,2025-10-27,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1482,"4DSACE803477","","",9576,2025-10-17 00:00:00.000,"1",3000,2025-11-06 10:19:00.000,,,NCR20251029-00182,B,2025-10-29,undefined,"100",Total yield ratio lower spec (ESR),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1515,"4DSACE803337","","",9576,2025-10-17 00:00:00.000,"1",6000,2025-11-06 10:29:00.000,,,NCR20251103-00215,B,2025-11-03,undefined,"100",Total yield ratio lower spec (CDF),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1517,"4DSACE803337","","",9576,2025-10-18 00:00:00.000,"1",6000,2025-11-08 09:48:00.000,,,NCR20251104-00143,B,2025-11-04,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1557,"4DSACE803477","","",9576,2025-10-18 00:00:00.000,"1",6000,2025-11-12 18:47:00.000,,,NCR20251104-00279,B,2025-11-04,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1580,"6DSACE803477","","",7980,2025-10-18 00:00:00.000,"1",5000,2025-11-19 08:43:00.000,,,NCR20251027-00129,B,2025-10-27,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1595,"4DSACE803336","","",9576,2025-10-20 00:00:00.000,"1",6000,2025-11-06 12:59:00.000,,,NCR20251031-00474,B,2025-10-31,undefined,"100",Total yield ratio lower spec (CDF),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1609,"4DSACE803227","","",9576,2025-10-19 00:00:00.000,"1",6000,2025-11-08 09:54:00.000,,,NCR20251031-00400,B,2025-10-31,undefined,"100",Total yield ratio lower spec (CDF),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1647,"6DSACE803477","","",7980,2025-10-18 00:00:00.000,"1",5000,2025-11-10 13:34:00.000,,,NCR20251028-00404,B,2025-10-28,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1742,"3DSACE803226","","",11970,2025-10-22 00:00:00.000,"1",6000,2025-11-14 13:57:00.000,,,NCR20251111-00216,B,2025-11-11,undefined,"100",Total yield ratio lower spec (ESR),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1773,"4DSACE803477","","",9576,2025-10-20 00:00:00.000,"1",6000,2025-11-14 11:02:00.000,,,NCR20251031-00167,B,2025-10-31,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1774,"4DSACE803477","","",9576,2025-10-20 00:00:00.000,"1",6000,2025-11-17 12:58:00.000,,,NCR20251103-00109,B,2025-11-03,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1776,"4DSACE803477","","",9576,2025-10-19 00:00:00.000,"1",6000,2025-11-18 15:32:00.000,,,NCR20251028-00405,B,2025-10-28,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
